City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Gas Truck,Total GHG Cost,Hydrogen Fuel Carbon Intensity,0.07427375049608805,0.07232983220729833,0.07830855136845336,0.9818913457935612,0.07427375049608805,0.07232983220729833,0.07830855136845336,0.9818913457935612
Atlanta,Gas Truck,Total GHG Cost,Fuel Economy,-0.027592082889473724,-0.026945885669458856,-0.025236262672750333,-0.8556651360833053,0.027592082889473724,0.026945885669458856,0.025236262672750333,0.8556651360833053
Atlanta,Gas Truck,Total GHG Cost,Stations,0.020884399803238005,0.01963538438316556,-0.00023898306811117576,0.030536499005208644,0.020884399803238005,0.01963538438316556,0.00023898306811117576,0.030536499005208644
Atlanta,Gas Truck,Total GHG Cost,Utilization,-0.019269035351362818,-0.019496838602968386,-0.000227849334630709,0.03024575594321473,0.019269035351362818,0.019496838602968386,0.000227849334630709,0.03024575594321473
Atlanta,Gas Truck,Total GHG Cost,Station Leakage Rate,-0.01822825072587011,-0.018133114561657542,3.639667948001105e-07,-0.0008168470116290997,0.01822825072587011,0.018133114561657542,3.639667948001105e-07,0.0008168470116290997
Atlanta,Gas Truck,Total GHG Cost,Compression Efficiency,-0.016341655326579243,-0.016496161124961613,5.3417720904456214e-05,-0.014313741947510254,0.016341655326579243,0.016496161124961613,5.3417720904456214e-05,0.014313741947510254
Atlanta,Gas Truck,Total GHG Cost,Cab Cost,0.012146302040283849,0.012043707432437075,-0.00012470103766304644,-0.02149890633449074,0.012146302040283849,0.012043707432437075,0.00012470103766304644,0.02149890633449074
Atlanta,Gas Truck,Total GHG Cost,Fuel Price,0.009872186367485769,0.009851115854511159,0.00017431864125519274,0.013463152822983673,0.009872186367485769,0.009851115854511159,0.00017431864125519274,0.013463152822983673
Atlanta,Gas Truck,Total GHG Cost,Liquefaction Efficiency,0.008735788524043775,0.008824247404242475,-0.00017335438054503601,-0.011881713936126992,0.008735788524043775,0.008824247404242475,0.00017335438054503601,0.011881713936126992
Atlanta,Gas Truck,Total GHG Cost,Distribution Leakage Rate,0.007622563830876494,0.007311996529821917,-6.812390049746941e-05,-0.018341731451873473,0.007622563830876494,0.007311996529821917,6.812390049746941e-05,0.018341731451873473
Atlanta,Gas Truck,Total GHG Cost,Compression Capital Cost,-0.00328955706521267,-0.0032480085444800853,-5.665826904305334e-05,-0.009043008132609432,0.00328955706521267,0.0032480085444800853,5.665826904305334e-05,0.009043008132609432
Atlanta,Gas Truck,Total GHG Cost,Station Capital Cost,-0.0026124899376284857,-0.00252729102127291,6.625329250474211e-05,0.010687162128173496,0.0026124899376284857,0.00252729102127291,6.625329250474211e-05,0.010687162128173496
Atlanta,Gas Truck,Total GHG Cost,Liquefaction Capital Cost,0.002502281958877793,0.002549040589490406,-7.935819979870106e-05,-0.011612081278345326,0.002502281958877793,0.002549040589490406,7.935819979870106e-05,0.011612081278345326
Atlanta,Gas Truck,Total GHG Cost,Transmission Leakage Rate,0.0021701257162600883,0.002092057364920574,0.0001174305487265824,0.00916820409718361,0.0021701257162600883,0.002092057364920574,0.0001174305487265824,0.00916820409718361
Atlanta,Gas Truck,Total GHG Cost,Pipeline Capital Cost,0.0005853448479565026,0.0008634484526344845,5.243422191835078e-06,0.004626736672368133,0.0005853448479565026,0.0008634484526344845,5.243422191835078e-06,0.004626736672368133
Atlanta,Gas Truck,Total GHG Cost,Electricity Cost,0.0004292116189408167,0.0002319145103191451,3.931501259490636e-05,0.0013309920412885468,0.0004292116189408167,0.0002319145103191451,3.931501259490636e-05,0.0013309920412885468
Atlanta,Gas Truck,Total GHG Cost,Transmission Length,,,-5.551115123125783e-17,,,,5.551115123125783e-17,
Atlanta,Liquid Truck,Total Cost,Electricity Cost,0.754553193044533,0.7659334830513348,0.7515593715906966,0.9610441642991401,0.754553193044533,0.7659334830513348,0.7515593715906966,0.9610441642991401
Atlanta,Liquid Truck,Total Cost,Stations,0.5316411118172105,0.4961531915269919,0.5285710787288797,0.057454633046385574,0.5316411118172105,0.4961531915269919,0.5285710787288797,0.057454633046385574
Atlanta,Liquid Truck,Total Cost,Utilization,-0.5135502103129689,-0.495856201634562,0.005499825139743578,-0.00875688601010912,0.5135502103129689,0.495856201634562,0.005499825139743578,0.00875688601010912
Atlanta,Liquid Truck,Total Cost,Liquefaction Efficiency,-0.2610710476563015,-0.2472449105764491,-0.24467885441608528,-0.7275182812599161,0.2610710476563015,0.2472449105764491,0.24467885441608528,0.7275182812599161
Atlanta,Liquid Truck,Total Cost,Liquefaction Capital Cost,0.2086256268845739,0.1981807525338075,0.2166645636753126,0.6913212620809924,0.2086256268845739,0.1981807525338075,0.2166645636753126,0.6913212620809924
Atlanta,Liquid Truck,Total Cost,Station Capital Cost,0.18777016290645274,0.1765550118495501,0.17271022424916296,0.589378528055273,0.18777016290645274,0.1765550118495501,0.17271022424916296,0.589378528055273
