Gas Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.22748892,85.5916953,13.6833692,0.00214644,100,0.002919183,0.01661987,32,8.40632415,211279.666,0.80553222,0.91576884,0.98259315,1.06451766,0.88034532,2.1225,1.4237,1.0462549,4.5924549,,0.22748892,85.5916953,0.00690119,0.00291918,0.00036663,32,8.40632415,211279.666,0.80553222,0.91576884,0.98259315,1.06451766,100,0.88034532,0.7888,1.3839,2.26827268,4.44097268
0.22661132,87.7935266,7.77066374,0.00192889,100,0.00586909,0.00382219,31,8.17444823,297194.064,0.97007513,1.13205221,1.15400672,0.83948596,0.83542407,2.0364,1.4341,1.1454259,4.6159259,,0.22661132,87.7935266,0.03207384,0.00586909,0.00033777,31,8.17444823,297194.064,0.97007513,1.13205221,1.15400672,0.83948596,100,0.83542407,0.7968,1.3747,2.42566168,4.59716168
0.15456376,85.289948,11.2935128,0.00176025,100,0.004692865,0.00589053,32,11.1085324,280073.678,1.01884236,1.09761574,1.07172041,1.193132,0.99087551,1.7897,1.1788,1.00889974,3.97739974,,0.15456376,85.289948,0.02212928,0.00469287,0.00025366,32,11.1085324,280073.678,1.01884236,1.09761574,1.07172041,1.193132,100,0.99087551,0.7947,1.3897,2.01272958,4.19712958
0.22043125,80.3800011,10.1805663,0.00226328,100,0.00283022,0.00458643,34,8.71944559,287687.981,0.80709209,0.98105991,1.02680783,0.86160996,0.89192975,2.0463,1.4092,1.11553443,4.57103443,,0.22043125,80.3800011,0.04599283,0.00283022,0.00031813,34,8.71944559,287687.981,0.80709209,0.98105991,1.02680783,0.86160996,100,0.89192975,0.7955,1.4289,2.35872682,4.58312682
0.08172226,81.2867999,9.75158739,0.00140969,100,0.005832874,0.00503029,33,10.5633324,225845.993,0.9468452,0.80569708,0.97120686,1.12348125,0.86216161,1.4746,0.8962,0.87227936,3.24307936,,0.08172226,81.2867999,0.02873905,0.00583287,0.00027567,33,10.5633324,225845.993,0.9468452,0.80569708,0.97120686,1.12348125,100,0.86216161,0.7894,1.4061,1.59825342,3.79375342
0.21690289,87.7337027,8.02604628,0.00233135,100,0.002030968,0.0090711,31,11.096594,327517.378,0.91215868,1.13373125,1.06518054,1.15733168,0.95290473,1.9878,1.3965,1.06815903,4.45245903,,0.21690289,87.7337027,0.01235878,0.00203097,0.00039069,31,11.096594,327517.378,0.91215868,1.13373125,1.06518054,1.15733168,100,0.95290473,0.7942,1.3693,2.27426381,4.43776381
0.14828265,88.1611085,11.062964,0.00221732,100,0.002168214,0.01017335,31,8.5535244,321484.792,1.02721162,0.90200016,1.17009058,0.96345117,0.89422805,1.8481,1.1757,1.03758024,4.06138024,,0.14828265,88.1611085,0.0117021,0.00216821,0.00035558,31,8.5535244,321484.792,1.02721162,0.90200016,1.17009058,0.96345117,100,0.89422805,0.7892,1.3667,2.04069003,4.19659003
0.09743921,85.4588795,14.082006,0.00140939,100,0.004655807,0.01628364,32,8.16535385,364277.47,1.0747036,0.99678009,1.12398324,1.13707592,0.90997498,1.7897,1.0387,0.96233761,3.79073761,,0.09743921,85.4588795,0.03369066,0.00465581,0.00039648,32,8.16535385,364277.47,1.0747036,0.99678009,1.12398324,1.13707592,100,0.90997498,0.7941,1.3914,1.78423223,3.96973223
0.11786981,73.0893874,10.1158261,0.00130848,100,0.003895076,0.01783946,37,10.8894477,329136.074,1.16206565,1.05515292,0.93748779,0.88069313,0.95936487,1.6897,1.0643,0.97926039,3.73326039,,0.11786981,73.0893874,0.00714339,0.00389508,0.00029545,37,10.8894477,329136.074,1.16206565,1.05515292,0.93748779,0.88069313,100,0.95936487,0.7918,1.4713,1.86449767,4.12759767
0.14205668,88.4761858,9.94366026,0.00200455,100,0.001918896,0.01078267,31,10.0674122,295758.784,0.98298368,1.08043592,0.94752746,0.94290812,0.86765711,1.7572,1.1382,0.87731307,3.77271307,,0.14205668,88.4761858,0.01980921,0.0019189,0.00029778,31,10.0674122,295758.784,0.98298368,1.08043592,0.94752746,0.94290812,100,0.86765711,0.794,1.3704,1.76894182,3.93334182
0.17263401,75.5333066,11.05617,0.00124245,100,0.004001839,0.01994017,36,9.08085585,334578.645,0.91173444,1.15917389,0.86634283,1.07137411,1.10837772,1.945,1.2695,0.9751652,4.1896652,,0.17263401,75.5333066,0.04645054,0.00400184,0.00032327,36,9.08085585,334578.645,0.91173444,1.15917389,0.86634283,1.07137411,100,1.10837772,0.7994,1.4651,2.00635431,4.27085431
0.22984405,73.2101822,7.40153646,0.00143611,100,0.004089084,0.01643423,37,9.32355764,329322.159,0.8678339,1.06719387,1.16332784,0.86728432,0.89960835,2.0513,1.4435,1.31919166,4.81399166,,0.22984405,73.2101822,0.0300713,0.00408908,0.00035005,37,9.32355764,329322.159,0.8678339,1.06719387,1.16332784,0.86728432,100,0.89960835,0.7952,1.4768,2.70779146,4.97979146
0.21996966,71.9271922,13.6628041,0.00174378,100,0.00549407,0.00348507,38,10.4587912,231599.128,0.98849826,0.85222228,1.11717815,1.02892673,1.1768379,2.0275,1.3915,1.28681436,4.70581436,,0.21996966,71.9271922,0.01463326,0.00549407,0.00028992,38,10.4587912,231599.128,0.98849826,0.85222228,1.11717815,1.02892673,100,1.1768379,0.7885,1.4877,2.63023502,4.90643502
0.10193107,84.7768354,7.81647444,0.00171667,100,0.003514905,0.00446804,32,7.98055527,391273.749,1.04641733,1.18056467,1.17585216,0.87180121,0.90487654,1.6778,1.0376,1.01034208,3.72574208,,0.10193107,84.7768354,0.03985432,0.00351491,0.00032378,32,7.98055527,391273.749,1.04641733,1.18056467,1.17585216,0.87180121,100,0.90487654,0.7989,1.3945,1.87234284,4.06574284
0.09173406,85.3655267,9.72234964,0.00133349,100,0.001819522,0.01138806,32,7.94746037,256366.956,0.85034051,1.13534787,0.96184435,0.91279924,0.89133232,1.603,0.9632,0.84050189,3.40670189,,0.09173406,85.3655267,0.01093269,0.00181952,0.00031599,32,7.94746037,256366.956,0.85034051,1.13534787,0.96184435,0.91279924,100,0.89133232,0.794,1.3869,1.57434569,3.75524569
0.17695729,89.1710186,11.4946265,0.00173347,100,0.006049583,0.01303372,30,8.20802181,386240.017,1.16597519,0.85382469,1.16027131,1.00594609,0.96415017,2.0117,1.3045,1.06647467,4.38267467,,0.17695729,89.1710186,0.01329052,0.00604958,0.00037639,30,8.20802181,386240.017,1.16597519,0.85382469,1.16027131,1.00594609,100,0.96415017,0.7883,1.3492,2.16591322,4.30341322
0.12596615,80.2904487,13.4042401,0.00166033,100,0.006493137,0.01997357,34,8.48610892,371809.375,1.19469771,0.8912411,0.82727013,1.0172055,0.87571352,1.8684,1.1329,0.83904528,3.84034528,,0.12596615,80.2904487,0.03568082,0.00649314,0.00028868,34,8.48610892,371809.375,1.19469771,0.8912411,0.82727013,1.0172055,100,0.87571352,0.7921,1.4263,1.66525136,3.88365136
0.19904073,70.454011,13.0624576,0.00172961,100,0.006076026,0.00825709,38,10.5453005,306542.742,1.14757681,1.09876592,0.95620933,1.12584689,0.99600832,2.0052,1.3537,1.14298512,4.50188512,,0.19904073,70.454011,0.03725143,0.00607603,0.00037406,38,10.5453005,306542.742,1.14757681,1.09876592,0.95620933,1.12584689,100,0.99600832,0.7968,1.4958,2.3449141,4.6375141
0.09110526,82.1792531,13.6357217,0.00133204,100,0.002322043,0.00918285,33,7.90089655,301986.444,0.95220952,1.10298302,0.83921232,0.93987501,0.95734966,1.725,0.9973,0.77962312,3.50192312,,0.09110526,82.1792531,0.0324098,0.00232204,0.00020866,33,7.90089655,301986.444,0.95220952,1.10298302,0.83921232,0.93987501,100,0.95734966,0.7962,1.4093,1.47556628,3.68106628
0.13824671,72.9409981,14.8417449,0.00208528,100,0.005931834,0.01319637,37,9.5983362,391574.013,1.02986965,0.97444599,1.06149335,1.11302216,0.91317074,1.9131,1.1832,1.11248487,4.20878487,,0.13824671,72.9409981,0.0265822,0.00593183,0.00026368,37,9.5983362,391574.013,1.02986965,0.97444599,1.06149335,1.11302216,100,0.91317074,0.7927,1.4755,2.13215413,4.40035413
0.19270986,82.2318912,8.47685289,0.0020466,100,0.002230558,0.01868016,33,10.826772,216466.033,1.1804687,1.17279532,1.0660059,0.85080287,0.97337453,1.8525,1.2784,1.08562607,4.21652607,,0.19270986,82.2318912,0.04021136,0.00223056,0.00038695,33,10.826772,216466.033,1.1804687,1.17279532,1.0660059,0.85080287,100,0.97337453,0.7988,1.4119,2.2362733,4.4469733
0.11355655,88.3885717,10.2245784,0.00239904,100,0.002934291,0.01589845,31,10.9865503,337171.233,0.9128293,0.95593812,0.92590365,1.19313109,0.87874777,1.6767,1.0493,0.82405132,3.55005132,,0.11355655,88.3885717,0.029586,0.00293429,0.00029462,31,10.9865503,337171.233,0.9128293,0.95593812,0.92590365,1.19313109,100,0.87874777,0.7927,1.3716,1.60768041,3.77198041
0.08267632,87.0584702,9.49550486,0.00182346,100,0.005685185,0.0018591,31,10.679348,264698.827,1.05777116,0.9407903,1.06231394,0.86099985,0.87693756,1.5006,0.9162,0.88529251,3.30209251,,0.08267632,87.0584702,0.0153462,0.00568518,0.00029179,31,10.679348,264698.827,1.05777116,0.9407903,1.06231394,0.86099985,100,0.87693756,0.7905,1.3688,1.62218237,3.78148237
0.18833633,88.18223,9.04836035,0.00206906,100,0.00640537,0.01375517,31,8.33971565,354992.115,1.00150948,0.8030812,0.94492364,1.15472348,0.86249039,1.9693,1.3183,0.94761297,4.23521297,,0.18833633,88.18223,0.00675836,0.00640537,0.00029073,31,8.33971565,354992.115,1.00150948,0.8030812,0.94492364,1.15472348,100,0.86249039,0.7864,1.3655,2.00775182,4.15965182
0.12095764,73.3667541,8.14236116,0.00173482,100,0.004319615,0.00414878,37,11.2767765,360393.322,1.17686591,0.80372088,1.11287766,0.89124229,0.94345376,1.6614,1.0694,1.12221313,3.85301313,,0.12095764,73.3667541,0.00810332,0.00431962,0.00024555,37,11.2767765,360393.322,1.17686591,0.80372088,1.11287766,0.89124229,100,0.94345376,0.7866,1.469,2.10037702,4.35597702
0.20830567,80.5238771,8.97080564,0.00237437,100,0.003096731,0.00615951,34,8.74483187,281889.689,0.949792,1.12922971,0.95348983,0.86798975,1.0970402,1.98,1.3644,1.04348613,4.38788613,,0.20830567,80.5238771,0.01377159,0.00309673,0.00037209,34,8.74483187,281889.689,0.949792,1.12922971,0.95348983,0.86798975,100,1.0970402,0.7943,1.4228,2.21157972,4.42867972
0.1297822,87.6496625,8.12591791,0.00213684,100,0.003159728,0.00762013,31,8.51162329,215890.825,0.93870511,1.13373063,1.17626638,1.0408222,0.87685382,1.6522,1.069,1.02137667,3.74257667,,0.1297822,87.6496625,0.0089094,0.00315973,0.00037155,31,8.51162329,215890.825,0.93870511,1.13373063,1.17626638,1.0408222,100,0.87685382,0.7938,1.3688,1.96530799,4.12790799
0.19200643,72.6193237,8.84494162,0.00165611,100,0.005414722,0.0106619,37,8.04300001,339287.293,0.90413685,1.07000377,0.81974187,0.90351098,1.03417943,1.9801,1.3311,0.9954681,4.3066681,,0.19200643,72.6193237,0.00470913,0.00541472,0.00032697,37,8.04300001,339287.293,0.90413685,1.07000377,0.81974187,0.90351098,100,1.03417943,0.7918,1.4712,2.09126519,4.35426519
0.06037255,70.8727717,11.7874837,0.00160096,100,0.004648589,0.00589212,38,10.2727435,226540.458,0.84619403,0.99710371,1.12862759,0.85629718,1.01583402,1.4509,0.8387,1.08316019,3.37276019,,0.06037255,70.8727717,0.00268822,0.00464859,0.00039097,38,10.2727435,226540.458,0.84619403,0.99710371,1.12862759,0.85629718,100,1.01583402,0.79,1.4862,1.87416757,4.15036757
0.08377149,77.8657866,8.0941081,0.00159877,100,0.004845377,0.0086264,35,11.1762977,342553.58,1.0473321,0.85203912,1.13877254,0.85100882,0.80108092,1.5254,0.9372,1.03470581,3.49730581,,0.08377149,77.8657866,0.03954992,0.00484538,0.00023369,35,11.1762977,342553.58,1.0473321,0.85203912,1.13877254,0.85100882,100,0.80108092,0.7918,1.4436,1.86146614,4.09686614
0.19216411,88.1618142,8.4761796,0.00214505,100,0.003471454,0.00853802,31,9.61715603,205074.155,0.89794106,0.97301495,1.10743685,1.10024049,0.84010627,1.8444,1.2713,1.05921129,4.17491129,,0.19216411,88.1618142,0.03546998,0.00347145,0.00026971,31,9.61715603,205074.155,0.89794106,0.97301495,1.10743685,1.10024049,100,0.84010627,0.7939,1.3733,2.19410444,4.36130444
0.22919352,88.0393887,8.08695745,0.00181146,100,0.00337942,0.00838705,31,9.18465412,360377.514,0.84224396,0.86173713,0.82637773,0.93809559,1.15655816,2.0698,1.4489,0.92429903,4.44299903,,0.22919352,88.0393887,0.01390278,0.00337942,0.00033247,31,9.18465412,360377.514,0.84224396,0.86173713,0.82637773,0.93809559,100,1.15655816,0.7886,1.3671,2.07946016,4.23516016
