Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Compression Efficiency,Transmission Length,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.07346446,66.024704,14.1076827,0.04955264,100,0.01463838,0.00188139,185,7.99552343,206649.888,0.94605503,0.80596797,0.82669301,0.8381263,0.86325924,2.2385,1.8969,0.62274512,4.75814512,,0.07346446,66.024704,0.01711979,0.00216477,0.00024147,185,7.99552343,206649.888,0.94605503,0.80596797,0.82669301,0.8381263,0.86325924,100,0.4309,3.2325,1.66508507,5.32848507
0.14961211,68.9872885,9.3018117,0.00536287,100,0.01225785,0.03263519,178,9.79575334,347824.562,1.09583316,0.91615508,0.96756725,0.95119693,0.9305187,3.2693,2.7994,0.72203176,6.79073176,,0.14961211,68.9872885,0.03028651,0.00410721,0.00029463,178,9.79575334,347824.562,1.09583316,0.91615508,0.96756725,0.95119693,0.9305187,100,0.4345,3.1858,2.18915338,5.80945338
0.19641147,74.5803738,13.7692027,0.01809473,100,0.01515964,0.00815843,164,9.02426178,312558.997,0.88589334,1.16057413,1.14051127,0.86376135,1.11579916,3.5406,3.1375,0.79746086,7.47556086,,0.19641147,74.5803738,0.0357703,0.00532214,0.00036594,164,9.02426178,312558.997,0.88589334,1.16057413,1.14051127,0.86376135,1.11579916,100,0.4396,3.0801,2.54203152,6.06173152
0.20840349,66.3449144,9.57278299,0.00778414,100,0.01244033,0.04315243,185,8.61192493,300827.253,0.81326623,0.95750821,1.16255083,0.90911729,1.00581024,3.6375,3.1575,0.90089339,7.69589339,,0.20840349,66.3449144,0.03303694,0.00217436,0.00038267,185,8.61192493,300827.253,0.81326623,0.95750821,1.16255083,0.90911729,1.00581024,100,0.4356,3.2397,2.81960417,6.49490417
0.15092072,50.9395409,11.4048743,0.02231434,100,0.01125482,0.0140566,240,10.4513987,358318.722,1.12569046,1.19811637,1.05708375,0.92644627,1.19666092,3.3229,2.8728,1.02092815,7.21662815,,0.15092072,50.9395409,0.02338552,0.00222742,0.00036441,240,10.4513987,358318.722,1.12569046,1.19811637,1.05708375,0.92644627,1.19666092,100,0.4386,3.6233,2.87446826,6.93636826
0.07555123,76.6366529,11.4895368,0.0283094,100,0.01532653,0.01772959,160,8.90756812,221652.973,0.95032363,1.06030085,0.81227837,1.18561828,1.16046121,2.2489,1.8966,0.53583964,4.68133964,,0.07555123,76.6366529,0.03318039,0.00511624,0.00027652,160,8.90756812,221652.973,0.95032363,1.06030085,0.81227837,1.18561828,1.16046121,100,0.4374,3.046,1.48125198,4.96465198
0.08751649,76.3497639,13.7661624,0.01550434,100,0.01656315,0.01799378,160,8.40690253,314375.842,0.91776571,1.13663671,1.19728446,0.93855898,1.00098612,2.3693,2.0063,0.75355915,5.12915915,,0.08751649,76.3497639,0.04004009,0.00473853,0.00031869,160,8.40690253,314375.842,0.91776571,1.13663671,1.19728446,0.93855898,1.00098612,100,0.4397,3.0491,2.03656498,5.52536498
0.07465091,78.9420938,7.1043191,0.03177933,100,0.01043408,0.00763664,155,10.1744676,387486.78,1.11889501,0.96386406,0.97375669,0.98467939,0.86090229,2.4485,2.0569,0.60243137,5.10783137,,0.07465091,78.9420938,0.01482715,0.00301497,0.00026745,155,10.1744676,387486.78,1.11889501,0.96386406,0.97375669,0.98467939,0.86090229,100,0.4334,2.9965,1.64080688,5.07070688
0.17017035,62.5664139,9.29984426,0.02854544,100,0.01551583,0.01671308,196,9.237343,348247.445,1.13201656,1.14144275,1.14019055,1.13786805,1.04305699,3.5615,3.1008,0.91563992,7.57793992,,0.17017035,62.5664139,0.0105323,0.00266807,0.00034127,196,9.237343,348247.445,1.13201656,1.14144275,1.14019055,1.13786805,1.04305699,100,0.4359,3.3137,2.7049268,6.4545268
0.07391725,53.7861395,11.6021886,0.0086694,100,0.01436168,0.04524216,228,9.66319699,271021.545,0.95782313,1.12666953,0.94657078,1.18254573,0.80832975,2.2561,1.8741,0.84731955,4.97751955,,0.07391725,53.7861395,0.04539709,0.00526987,0.00030713,228,9.66319699,271021.545,0.95782313,1.12666953,0.94657078,1.18254573,0.80832975,100,0.4403,3.5534,2.18733607,6.18103607
0.15926986,86.2276745,7.52300978,0.03162503,100,0.01060171,0.01064218,142,9.05276654,233895.934,0.9996686,1.09385774,0.9168323,0.80628264,1.11254637,3.2433,2.8348,0.57410443,6.65220443,,0.15926986,86.2276745,0.02986844,0.00360832,0.00039719,142,9.05276654,233895.934,0.9996686,1.09385774,0.9168323,0.80628264,1.11254637,100,0.4376,2.8934,1.8893045,5.2203045
0.19540288,82.5140047,11.6760163,0.0430586,100,0.0149297,0.00849776,148,9.5549942,274832.952,0.92665391,1.14507954,1.0166337,0.89647806,1.04495552,3.6175,3.2074,0.66841156,7.49331156,,0.19540288,82.5140047,0.04822901,0.00182245,0.00025442,148,9.5549942,274832.952,0.92665391,1.14507954,1.0166337,0.89647806,1.04495552,100,0.441,2.9518,2.23184196,5.62464196
0.22708736,53.2295418,8.39806128,0.00845588,100,0.01738285,0.0215027,230,8.12357109,211104.023,0.95702553,0.85997055,1.00394311,1.08860257,1.03076775,3.9344,3.4843,0.9871904,8.4058904,,0.22708736,53.2295418,0.04399716,0.00195626,0.00037587,230,8.12357109,211104.023,0.95702553,0.85997055,1.00394311,1.08860257,1.03076775,100,0.4354,3.5634,3.06182903,7.06062903
0.20671703,56.6662169,11.9014859,0.04309817,100,0.01707082,0.03667241,216,7.98363605,315754.497,1.19938636,1.07209704,0.89993668,0.95350273,1.16025712,4.1553,3.6012,0.84742953,8.60392953,,0.20671703,56.6662169,0.02844004,0.00238139,0.0003723,216,7.98363605,315754.497,1.19938636,1.07209704,0.89993668,0.95350273,1.16025712,100,0.437,3.4626,2.66592002,6.56552002
0.11574871,53.1008244,13.7077136,0.0429949,100,0.01826019,0.02416957,230,9.12738116,294849.741,1.18921919,1.05938566,0.81770949,1.11126826,1.10692523,3.0421,2.5922,0.78358026,6.41788026,,0.11574871,53.1008244,0.0327939,0.00193853,0.00021305,230,9.12738116,294849.741,1.18921919,1.05938566,0.81770949,1.11126826,1.10692523,100,0.4374,3.5598,2.17414114,6.17134114
