Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Pipeline Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.19797121,67.4881697,10.6192517,0.05331254,100,0.01775218,0.02637063,15,9.80852065,363051.975,1.09958587,0.81954539,0.913451,1.14538162,1.14401147,4.7927,4.0788,0.73374461,9.60524461,,0.19797121,67.4881697,0.01097436,0.00373545,0.00034594,15,9.80852065,363051.975,1.09958587,0.81954539,0.913451,1.14538162,100,1.14401147,2.3222,3.2224,2.38195438,7.92655438
0.07771282,52.4106312,14.645267,0.04525525,100,0.0156834,0.02410392,20,9.21151412,219651.186,0.80251989,1.13315542,1.05538459,1.02128985,0.8213711,2.768,2.2564,0.95755789,5.98195789,,0.07771282,52.4106312,0.02330036,0.00305445,0.00020767,20,9.21151412,219651.186,0.80251989,1.13315542,1.05538459,1.02128985,100,0.8213711,2.3321,3.6833,2.45131596,8.46671596
0.14738553,73.6156321,14.6908212,0.01667475,100,0.01836208,0.02696503,14,9.26948137,366330.85,1.13098683,0.87211983,1.01539564,1.1605438,0.9719794,4.2013,3.5045,0.71172121,8.41752121,,0.14738553,73.6156321,0.0403097,0.00500083,0.0003762,14,9.26948137,366330.85,1.13098683,0.87211983,1.01539564,1.1605438,100,0.9719794,2.3275,3.1305,2.15244448,7.61044448
0.08382828,71.4043808,11.2626891,0.04627701,100,0.01535011,0.01175007,14,8.93743188,217188.561,1.02227612,0.95894535,0.82283902,1.08445389,1.17173054,3.234,2.6561,0.58273218,6.47283218,,0.08382828,71.4043808,0.04680463,0.00533618,0.00036513,14,8.93743188,217188.561,1.02227612,0.95894535,0.82283902,1.08445389,100,1.17173054,2.3307,3.1337,1.61820118,7.08260118
0.16777218,62.3012304,9.63375902,0.05211432,100,0.01217826,0.01441464,17,9.01252599,223736.465,1.01418986,0.83960059,0.96168385,0.87548778,0.82642591,4.2037,3.5711,0.79671523,8.57151523,,0.16777218,62.3012304,0.00547104,0.0045591,0.00030061,17,9.01252599,223736.465,1.01418986,0.83960059,0.96168385,0.87548778,100,0.82642591,2.3221,3.4111,2.42640813,8.15960813
0.21262475,75.2060223,14.1516261,0.04361167,100,0.01250889,0.04994635,14,10.0140554,349022.353,1.00031633,1.01769578,0.96797442,1.18488753,1.18368819,4.8219,4.0488,0.70394237,9.57464237,,0.21262475,75.2060223,0.02577049,0.0059716,0.00032556,14,10.0140554,349022.353,1.00031633,1.01769578,0.96797442,1.18488753,100,1.18368819,2.3294,3.1301,2.38691346,7.84641346
0.10360564,70.8276796,8.57843637,0.02300712,100,0.01168516,0.02706949,15,11.0860798,361282.003,1.06811585,1.14022496,0.9726037,0.8043493,0.84643791,3.5607,2.9337,0.68277675,7.17717675,,0.10360564,70.8276796,0.03000813,0.00551427,0.00033274,15,11.0860798,361282.003,1.06811585,1.14022496,0.9726037,0.8043493,100,0.84643791,2.3332,3.2326,1.93309789,7.49889789
0.19942144,78.1490517,14.2119803,0.01589388,100,0.01507338,0.01762532,13,10.24147,290872.777,0.95731926,1.0223706,0.82689919,1.08926556,1.05043252,4.4114,3.7724,0.60177885,8.78557885,,0.19942144,78.1490517,0.02367006,0.00322017,0.00029557,13,10.24147,290872.777,0.95731926,1.0223706,0.82689919,1.08926556,100,1.05043252,2.3293,3.026,2.08895496,7.44425496
0.06116704,71.673007,7.53803682,0.02305127,100,0.02035451,0.02772202,14,10.5161071,244238.46,0.97613883,0.89887087,1.14852142,1.02102973,1.06836793,2.8621,2.3249,0.75990896,5.94690896,,0.06116704,71.673007,0.03137404,0.00493751,0.00031524,14,10.5161071,244238.46,0.97613883,0.89887087,1.14852142,1.02102973,100,1.06836793,2.327,3.129,1.94434721,7.40034721
0.13564108,83.1997776,9.16396666,0.04825241,100,0.01567109,0.04699785,13,10.2519879,218655.36,0.91279173,0.88944929,1.12517486,1.19590342,1.00304263,3.676,3.0597,0.68542143,7.42112143,,0.13564108,83.1997776,0.04602719,0.00337105,0.00035308,13,10.2519879,218655.36,0.91279173,0.88944929,1.12517486,1.19590342,100,1.00304263,2.3287,3.0285,2.05596406,7.41316406
