Gas Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Gas Leak,Trans Length,Gas Station Leak,Gas Trans Leak,Stations,Fuel Economy,Cab Cost,Liquid CC,Com CC,Station CC,Pipeline CC,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leage,Stations,Fuel Economy,Cab Cost,Liquiefaction Cap Cost,Compressor Capital Cost,Station Capital Cost,Pipeline Capital Cost,Transmission length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.06309179,82.0321822,11.8532224,0.00211571,100,0.00393952,0.0157751,377,9.30906978,250995.052,0.97309928,1.19548953,0.99616547,0.86559761,0.88034532,1.4864,1.0256,0.85529885,3.36729885,,0.06309179,82.0321822,0.01199266,0.00393952,0.00024077,377,9.30906978,250995.052,0.97309928,1.19548953,0.99616547,0.86559761,100,0.88034532,0.2968,1.3313,1.52060434,3.14870434
0.12548819,77.0582628,12.3639178,0.002392,100,0.00355079,0.01180327,401,9.47078059,200265.467,1.16063108,0.93343122,1.03072906,0.96674082,0.83542407,1.67,1.2179,1.01934294,3.90724294,,0.12548819,77.0582628,0.033357,0.00355079,0.00022514,401,9.47078059,200265.467,1.16063108,0.93343122,1.03072906,0.96674082,100,0.83542407,0.2959,1.37,1.94930324,3.61520324
0.14559097,75.937283,13.5401483,0.00238872,100,0.00627782,0.01163018,407,7.95971861,237895.143,0.85902295,0.81574585,1.00131445,0.95239675,0.99087551,1.8393,1.339,1.04025466,4.21855466,,0.14559097,75.937283,0.0326048,0.00627782,0.00020684,407,7.95971861,237895.143,0.85902295,0.81574585,1.00131445,0.95239675,100,0.99087551,0.2941,1.3783,2.03774283,3.71014283
0.09217753,75.7827377,11.5332198,0.00232841,100,0.00356267,0.01578986,408,9.84192846,399563.706,1.07607212,0.95341671,1.17184682,1.04016488,0.89192975,1.666,1.1802,1.09619705,3.94239705,,0.09217753,75.7827377,0.04700758,0.00356267,0.00022689,408,9.84192846,399563.706,1.07607212,0.95341671,1.17184682,1.04016488,100,0.89192975,0.298,1.3841,1.98139533,3.66349533
0.18928466,74.866569,11.6043019,0.00200917,100,0.00544066,0.00492047,413,8.62482438,323209.083,1.03102603,0.94807646,0.95930309,1.11348941,0.86216161,1.9726,1.4963,1.08018208,4.54908208,,0.18928466,74.866569,0.03640403,0.00544066,0.00030685,413,8.62482438,323209.083,1.03102603,0.94807646,0.95930309,1.11348941,100,0.86216161,0.2965,1.3876,2.21899266,3.90309266
0.16905521,86.3203382,7.68302107,0.00220329,100,0.00215676,0.00537159,358,8.04342072,304398.596,0.82235575,0.88868692,0.9436729,0.89177649,0.95290473,1.8164,1.3816,0.9300173,4.1280173,,0.16905521,86.3203382,0.02912342,0.00215676,0.00020927,358,8.04342072,304398.596,0.82235575,0.88868692,0.9436729,0.89177649,100,0.95290473,0.2947,1.3087,1.92543214,3.52883214
0.09243639,78.4770226,9.95730448,0.00124182,100,0.00275078,0.00242861,394,10.0192186,321231.306,1.07834191,0.99978116,0.92323198,1.16457384,0.89422805,1.5686,1.1303,0.87569711,3.57459711,,0.09243639,78.4770226,0.04683464,0.00275078,0.00027703,394,10.0192186,321231.306,1.07834191,0.99978116,0.92323198,1.16457384,100,0.89422805,0.2986,1.3652,1.63158266,3.29538266
0.139917,78.7284374,12.2444739,0.00189761,100,0.00286126,0.00841684,393,9.91049907,372521.603,1.12797318,0.92876823,1.05262818,0.97731297,0.90997498,1.818,1.3365,1.03765816,4.19215816,,0.139917,78.7284374,0.03341491,0.00286126,0.00022034,393,9.91049907,372521.603,1.12797318,0.92876823,1.05262818,0.97731297,100,0.90997498,0.2958,1.359,2.0173759,3.6721759
0.21699135,82.7732825,8.8935895,0.00197919,100,0.00399812,0.0148478,374,10.422772,323014.057,0.92965713,0.95980036,0.80127983,0.95611389,0.95936487,1.9868,1.5475,0.92780636,4.46210636,,0.21699135,82.7732825,0.0251817,0.00399812,0.00037019,374,10.422772,323014.057,0.92965713,0.95980036,0.80127983,0.95611389,100,0.95936487,0.2952,1.3307,2.05184529,3.67774529
0.09153718,76.1308146,12.9690433,0.00234821,100,0.00613409,0.01367017,406,8.59813178,299379.504,0.89524374,1.14170263,0.96958671,1.05915225,0.86765711,1.6607,1.1662,0.9364636,3.7633636,,0.09153718,76.1308146,0.02808169,0.00613409,0.0003669,406,8.59813178,299379.504,0.89524374,1.14170263,0.96958671,1.05915225,100,0.86765711,0.2981,1.3763,1.72627894,3.40067894
0.14279514,79.7951436,13.4654031,0.00157275,100,0.00226482,0.014188,388,9.75226908,330742.395,1.04686131,0.81746514,0.90045347,1.14208906,1.10837772,1.8325,1.3387,0.91747256,4.08867256,,0.14279514,79.7951436,0.01068051,0.00226482,0.00030263,388,9.75226908,330742.395,1.04686131,0.81746514,0.90045347,1.14208906,100,1.10837772,0.2913,1.3442,1.83391122,3.46941122
