City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Liquid Truck,Total Cost,Compression Efficiency,,,0.0,,,,0.0,
Atlanta,Liquid Truck,Total GHG Cost,Electricity's CI,0.9999743556237015,0.999973481180759,0.9999616320822088,0.9999953032559017,0.9999743556237015,0.999973481180759,0.9999616320822088,0.9999953032559017
Atlanta,Liquid Truck,Total GHG Cost,Cab Cost,0.007930392633924142,0.007791089760201292,1.1954796668044111e-05,-0.0013618810456548195,0.007930392633924142,0.007791089760201292,1.1954796668044111e-05,0.0013618810456548195
Atlanta,Liquid Truck,Total GHG Cost,Hydrogen Fuel's CI,0.0074379598406043345,0.007557588677459947,0.006346935204329898,0.8994695178200236,0.0074379598406043345,0.007557588677459947,0.006346935204329898,0.8994695178200236
Atlanta,Liquid Truck,Total GHG Cost,Fuel Economy,-0.004938239013345862,-0.004875922920998506,-0.0019505339972244074,-0.5331687485832556,0.004938239013345862,0.004875922920998506,0.0019505339972244074,0.5331687485832556
Atlanta,Liquid Truck,Total GHG Cost,Fuel Price,0.0006384685856111456,0.0005624265264747274,-1.1114392537882757e-05,-0.0037711268198986183,0.0006384685856111456,0.0005624265264747274,1.1114392537882757e-05,0.0037711268198986183
Atlanta,Liquid Truck,Total GHG Cost,Stations,0.0002893736773094779,0.00045296762647596765,-0.0004227095740352217,-0.018143320911919728,0.0002893736773094779,0.00045296762647596765,0.0004227095740352217,0.018143320911919728
Atlanta,Liquid Truck,Total GHG Cost,Utilization,-0.00021812346379453432,-0.0005724363508330933,-0.0004039446644557021,-0.0179630233089273,0.00021812346379453432,0.0005724363508330933,0.0004039446644557021,0.0179630233089273
Atlanta,Liquid Truck,Total GHG Cost,Electricity Cost,,,0.0,,,,0.0,
Atlanta,Liquid Truck,Total GHG Cost,Liquid Leakage,,,3.0357660829594124e-18,,,,3.0357660829594124e-18,
Atlanta,Liquid Truck,Total GHG Cost,Transmission Length,,,0.0,,,,0.0,
Atlanta,Liquid Truck,Total GHG Cost,Liquid Station Leakage,,,1.1102230246251565e-16,,,,1.1102230246251565e-16,
Atlanta,Liquid Truck,Total GHG Cost,Liquid Transmission Leakge,,,-1.1102230246251565e-16,,,,1.1102230246251565e-16,
Atlanta,Liquid Truck,Total GHG Cost,Liquid Capital Cost,,,-1.9267853884466235e-45,,,,1.9267853884466235e-45,
Atlanta,Liquid Truck,Total GHG Cost,Compressor Liquid Cost,,,3.503246160812043e-46,,,,3.503246160812043e-46,
