City Name,Delivery Type,Station Size,Leakage Level,Market Penetration Rate,Distribution Leakage,Transmission Leakage,Station Leakage Rates,Distribution Cost,Transmission Cost,Station Cost,H2 Deivery (Market Rate),Total Costs,Transmission Length
"New Haven, CT",Gas,3000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,3.0441,1.4353,"37,954.02",4.4794,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,3.0525,1.4483,"39,951.60",4.5008,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,3.0336,1.46,"41,949.18",4.4936,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,3.0417,1.4707,"43,946.76",4.5124,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,3.0443,1.4804,"45,944.34",4.5247,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,3.0321,1.4209,"47,941.92",4.453,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,3.0353,1.4319,"49,939.50",4.4672,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,3.0415,1.442,"51,937.08",4.4835,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,3.0277,1.4513,"53,934.66",4.479,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,3.0337,1.46,"55,932.24",4.4937,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,3.0359,1.4681,"57,929.82",4.504,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,3.0268,1.4209,"59,927.40",4.4477,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,3.0291,1.4297,"61,924.98",4.4588,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.32,0.0018,0.0106,0.0041,-,3.0346,1.438,"63,922.56",4.4726,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.33,0.0018,0.0106,0.0041,-,3.026,1.4458,"65,920.14",4.4718,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.34,0.0018,0.0106,0.0041,-,3.0281,1.4531,"67,917.72",4.4812,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.35,0.0018,0.0106,0.0041,-,3.0332,1.46,"69,915.30",4.4932,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.36,0.0018,0.0106,0.0041,-,3.0226,1.4209,"71,912.88",4.4435,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.37,0.0018,0.0106,0.0041,-,3.0275,1.4283,"73,910.46",4.4558,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.38,0.0018,0.0106,0.0041,-,3.0293,1.4353,"75,908.04",4.4646,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.39,0.0018,0.0106,0.0041,-,3.0224,1.442,"77,905.62",4.4644,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.40,0.0018,0.0106,0.0041,-,3.0243,1.4483,"79,903.20",4.4726,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.41,0.0018,0.0106,0.0041,-,3.0284,1.4543,"81,900.78",4.4827,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.01,0.03,0.0255,0.0155,-,3.5744,1.1117,"1,997.58",4.6862,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.02,0.03,0.0255,0.0155,-,3.5744,0.9298,"3,995.16",4.5042,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.03,0.03,0.0255,0.0155,-,3.4156,0.9904,"5,992.74",4.4061,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.04,0.03,0.0255,0.0155,-,3.4553,0.9298,"7,990.32",4.3851,250
"New Haven, CT",Liquid,1000 kg/day,Medium,0.05,0.03,0.0255,0.0155,-,3.3935,0.9662,"9,987.90",4.3597,250
