New Haven Low Demand,,,,Fresno Low Demand,,,,Atlanta Low Demand,,,,Miami Low Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
4.99980827,5.57992953,40.7486723,,5.54492088,6.79286355,34.8957899,,5.62341266,6.2683257,19.2821232,,4.37712315,5.0088912,14.2835815
5.05687606,6.09829703,37.4610225,,4.11113734,4.4245186,31.5929154,,3.97715019,4.55159181,15.333332,,4.4324081,5.49738156,13.3350422
5.2291619,5.75469079,40.7202126,,4.54949182,5.6909202,33.1548586,,4.80340579,5.2851624,17.6474451,,4.57927972,5.13981947,14.4982381
5.67052205,6.51755965,39.4997548,,4.23099809,5.7953279,32.6828972,,6.42492982,6.72863803,22.7370555,,4.94153423,5.84397914,13.7358726
4.63031386,5.74639364,36.3090514,,4.80055797,4.95432382,36.0069314,,4.47983457,5.77960253,16.1791026,,4.15133798,5.24918516,12.0208338
5.62876141,5.85994705,37.8181993,,4.35983545,4.84613992,32.7246031,,6.15332938,6.68745642,22.61018,,5.0828054,5.33503021,14.0351697
6.16558445,7.13397456,43.3894824,,3.97536869,5.18561161,32.7776287,,4.13771372,5.2716414,14.9312588,,5.39465867,6.47286014,16.231659
5.01354325,6.11149745,38.7691201,,5.39984225,5.77089665,36.5882622,,3.81505353,4.02152703,14.2601906,,4.20819114,5.42179567,12.9527264
5.95517003,6.17399989,41.3794657,,5.15385962,5.70503376,35.0191102,,4.56950708,6.17213254,17.4281606,,5.2503868,5.53483778,15.0917566
4.22064123,4.66702419,35.7169151,,4.49344784,5.91237085,33.1424715,,4.18941352,4.7914798,14.8951999,,3.86281221,4.23528078,11.9542879
4.98715502,5.61191447,37.9837478,,4.67445607,5.96654869,34.9694226,,6.16648855,6.55730959,20.7832827,,4.05120167,4.84528163,12.5683307
4.69542159,5.48016989,37.6456155,,5.75448509,6.99951295,38.21543,,6.06219262,6.35579,22.919908,,4.17432322,4.96626817,13.2931325
4.22891264,4.65982816,36.0172924,,5.0147465,5.47917365,34.8621463,,5.9699416,6.12178236,22.5479079,,3.68560273,4.1014458,11.3943233
4.52151874,5.68008813,36.1423346,,4.27408879,4.98817817,32.8086065,,4.06021288,5.28959681,14.5330016,,4.14373298,5.26674563,12.4948365
4.72378118,5.7141764,36.5376404,,4.39764964,5.55237372,33.1357414,,3.92329234,3.98213815,14.8441315,,4.31087823,5.27509165,12.4444871
4.93077546,6.02905375,36.7988345,,5.17991976,5.0391195,35.6685121,,4.50231687,5.24203848,14.3455536,,4.42127087,5.56434022,12.2750929
4.5677015,5.05460856,36.3576142,,4.82174403,5.34031501,36.2842362,,3.70778329,4.21927699,13.9263173,,4.03499592,4.49402248,11.6820538
4.65473041,4.59700065,38.2409834,,5.38005405,6.16642034,34.755011,,5.10556633,5.51667611,18.9090557,,3.93685982,3.93485137,12.3138075
5.91776524,6.47198396,41.488041,,4.66286658,4.98500253,34.407894,,4.66368345,5.2106166,17.3705618,,5.62860414,6.09363181,16.2788156
4.47368578,5.01949189,35.2988255,,5.57517169,5.54264339,39.1421209,,5.09047243,6.39908543,18.3595919,,4.25221244,4.65675983,12.7591311
5.89620078,7.09201971,39.6708788,,7.07155164,8.67772821,40.730429,,4.54696841,5.00521448,16.722309,,5.46125701,6.60064814,14.7331286
6.22079223,7.01356955,41.0701575,,3.9948201,4.27769369,32.4864625,,5.02095479,5.42819186,18.4528728,,5.92864705,6.60646644,17.4639738
4.69223607,6.07351837,35.5692141,,3.87085513,4.01609614,31.4048305,,6.37666875,6.44884985,21.9705534,,4.18495886,5.53676886,12.0097503
4.56771888,5.14326397,38.3823078,,5.80023402,6.78415726,35.5199218,,4.55939852,4.30956793,16.9181991,,4.07225128,4.60860354,12.9741675
6.12054763,6.86295736,42.3079834,,4.79611804,5.30326965,33.2718759,,5.07798502,5.12596692,17.5118838,,5.77924411,6.44437397,17.1146794
4.47468096,5.19515057,36.3416826,,4.3078454,4.46811594,32.8576112,,5.23070709,6.58521507,18.1979111,,3.93199252,4.65482487,11.6773666
4.67054019,5.10043456,35.2986206,,3.85338012,4.61532266,32.1973697,,4.52751776,4.56277201,17.1839993,,4.00234999,4.48974822,11.5863474
5.53870019,5.50520009,38.6752592,,5.94992229,6.15118176,37.2433572,,3.66838134,4.06294228,14.805646,,5.24202154,5.03881244,15.6061052
6.38661635,6.76791639,43.42472,,5.15943663,5.24910665,34.3914754,,5.72457997,5.86594554,19.9947758,,5.71140948,6.09729745,16.3979364
6.02515178,5.79476838,44.6670397,,4.96285803,5.97828979,34.9602933,,5.50675228,6.73552238,18.8459409,,5.49185317,5.30401207,17.5873685
4.82554527,6.53280019,36.7617192,,5.88932198,6.09218614,38.3443892,,3.35086972,3.49611392,13.5367491,,4.20373297,5.97243487,11.8396262
5.2762036,5.37787998,39.0876162,,4.15254702,4.72689559,32.5573006,,4.33500202,4.5699608,17.0160848,,4.51314344,4.72676436,14.3488348
5.01769947,5.04209039,40.690322,,6.37886758,7.32284372,38.8740347,,4.38437738,4.81668703,15.3263724,,4.35400472,4.46922547,14.2932646
4.22246945,5.76671995,35.0774176,,4.53376708,5.54589338,33.1531393,,3.51876793,3.97011472,14.3709421,,3.93484049,5.40422823,12.5324183
4.16542399,5.25115107,36.1965468,,7.11213435,8.14798176,37.7005609,,3.88299322,4.08524254,14.1353042,,3.63214649,4.72715577,11.5278449
5.42641893,6.04122203,39.2662872,,4.78493899,5.95960789,33.6311268,,3.9662223,5.07226696,14.0362584,,4.65640361,5.36839671,13.2505525
4.21621009,5.34011134,36.2516096,,4.35546231,5.54209877,33.0672232,,4.52659086,4.61677546,16.189901,,3.57503466,4.73097888,11.000055
5.71729302,6.20641526,40.1760011,,5.21920971,5.67355604,35.8520534,,5.39515814,6.38937518,20.8251198,,5.15785272,5.6455938,15.1888513
3.84815799,5.23409346,35.694503,,5.10189757,6.00512855,33.562035,,4.66233797,4.89927104,16.8055472,,3.38512324,4.74220269,11.4207265
4.336264,4.36596507,37.354511,,3.86691217,4.22903035,31.8908835,,4.56194176,4.25629287,16.3514666,,4.02497142,3.96410543,13.1689753
6.86943882,7.60681437,42.7783843,,4.81141641,6.68171631,32.8323764,,4.10658483,5.27023188,14.7017774,,6.67245039,7.28416984,18.3276779
5.13981748,6.06677443,38.8469865,,4.97447874,6.01332067,34.3729421,,5.24574774,5.7024291,18.6364511,,4.36866678,5.38305824,14.1665728
5.69826794,6.44173711,39.6044125,,4.47001583,6.11776006,33.0466184,,4.4573483,5.15889999,15.8654461,,5.12368115,5.91263772,14.2913953
