New Haven Medium Demand,,,,Fresno Medium Demand,,,,Atlanta Medium Demand,,,,Miami Medium Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.065618206,4.164479112,6.951753118,,2.364977866,3.590740884,5.251670277,,3.011791781,3.371721236,4.68673556,,3.158157885,3.485697798,4.01801459
2.900931186,3.639915028,6.407416727,,3.271844676,4.026867749,6.189956655,,3.073000938,3.662628718,4.733010906,,2.985869191,3.117229723,3.703131935
2.655024968,3.298343394,6.748006227,,2.687702939,3.645073175,5.544610852,,3.123549891,4.004192076,4.445713605,,2.717912018,2.771887936,3.756175477
2.815051057,3.480429309,6.052864949,,3.420929986,4.599668253,6.083661917,,3.238308477,4.480527377,4.706538496,,2.926918156,2.923501629,3.287856957
2.961576211,4.573941458,6.296847835,,3.102414828,4.260989147,6.052113942,,3.089699139,4.19272312,4.656454605,,3.085486899,3.846953162,3.587693918
2.912417249,3.705197308,6.809860905,,3.338858129,4.801725197,6.426051599,,2.963103937,4.157512009,4.605486855,,3.042669439,3.186938024,3.884502807
3.132682555,4.541713986,6.553002162,,2.768955283,4.380028402,5.492932041,,3.187794753,4.399570365,5.031528972,,3.166614733,3.908332853,3.700724931
2.858793825,4.04977822,6.096982405,,2.59646062,4.234393962,5.393779272,,3.082056015,4.694810352,4.532752089,,2.98246999,3.529204405,3.408495158
3.056042042,3.983118079,6.648608812,,3.299758989,5.185104482,6.107973453,,3.262954597,3.873694749,4.758394553,,3.134328203,3.448456762,3.808831274
3.132272032,4.953486764,7.15603007,,3.288121047,4.450795618,6.51913864,,3.106636545,3.621881416,5.189413961,,3.176525867,4.204245942,4.15132603
2.883867844,4.85681351,6.317291474,,3.904316273,5.872820939,7.022361877,,2.934060775,3.708304673,4.073948303,,2.976184476,4.159964704,3.630281851
2.931158259,4.233766206,6.546196084,,3.492291668,5.493382297,6.660285876,,2.703219719,3.289128832,4.238717115,,3.003158593,3.640610913,3.712768528
3.012652314,4.746633167,6.617921897,,3.336551099,4.94498507,6.150210576,,3.01636396,3.679252816,4.685711068,,3.115091265,4.028083237,3.772286688
3.179590274,4.98672472,6.403750674,,3.393209203,5.792551384,6.727360078,,3.128638835,4.621071435,4.943785925,,3.280819457,4.363965484,3.778620335
3.269155641,4.957095985,7.240506498,,2.445549476,3.591513804,5.491194516,,3.37173017,4.25857081,5.017539762,,3.364610677,4.297491355,4.275169328
2.723729054,3.651707379,6.298520241,,3.094649374,5.901819237,5.776848875,,2.910792243,2.851802248,4.680609178,,2.791431353,3.032548389,3.421854168
2.491950362,3.715645389,6.2222592,,3.077220822,4.190430149,5.922723067,,2.694916627,3.353230417,4.272296518,,2.532502161,2.976221891,3.295912959
3.13582166,4.158645264,6.990092053,,2.769023756,4.307962498,5.770571741,,3.303089236,4.93438331,4.859127214,,3.216235442,3.648150362,4.083167832
3.651590611,5.19577531,7.740611542,,2.608198703,3.648422223,5.542851414,,3.432533837,5.140346416,5.360612894,,3.69541065,4.630156208,4.698422379
3.391381858,4.968724753,6.539883124,,2.96229079,4.01374386,6.150236987,,3.350030724,4.365949082,5.35679712,,3.46085221,4.397326302,3.825287045
2.725670177,3.410388246,6.218640538,,2.945633094,4.312521051,5.686377482,,2.81711201,3.774895909,4.327206932,,2.78241941,2.83880301,3.381812475
