New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.78904321,3.41365812,3.7045987,,3.77813845,4.81451473,3.62551797,,3.93528254,3.50928209,2.67072,,3.93991879,4.35949525,2.6384223
3.60065277,3.82347913,3.84573089,,3.66355551,4.04020955,3.50587744,,4.5099534,4.26952968,3.07805569,,3.85087693,3.69269305,2.39076659
3.79132537,4.35899284,3.89409797,,3.91705274,4.41754694,3.65584071,,3.86318125,3.30334516,2.47612744,,4.10433976,3.95630144,2.64879835
3.77927477,3.78239296,3.84117093,,3.39049343,3.27220109,3.37718863,,4.04514864,3.57213378,2.66191912,,3.57722044,2.83153492,2.24410661
4.18775356,4.66007848,4.10956915,,3.79916284,4.11074497,3.53507619,,4.66756637,4.43797944,3.08965814,,3.99974844,3.61579255,2.44933996
3.94614015,4.27775558,3.76966393,,3.77864885,3.23103297,3.44193133,,4.37378571,4.31154011,2.70100518,,3.9822538,2.80344214,2.27552149
4.30124013,4.14263222,4.09776981,,3.67875463,3.53470646,3.37575657,,4.05752528,4.19045849,3.00738383,,3.87901906,3.19592469,2.23892529
3.94679914,4.87141276,4.10738335,,3.71501646,3.44496286,3.55505298,,4.13409351,4.15265942,2.64267344,,3.92549637,3.00396129,2.44328592
3.64661416,4.38315948,3.91051198,,4.22717953,4.24887656,3.66096728,,3.8688669,2.95284853,2.48571105,,4.45569269,3.85993847,2.63706183
4.20436382,4.12583553,4.03257594,,3.634672,4.0306629,3.53125452,,4.12848588,4.66285973,2.76968879,,3.81091351,3.63744738,2.46706667
3.6285221,3.45382655,3.70605607,,3.6442422,4.21855305,3.5336412,,4.05800355,3.59061971,2.63620626,,3.83680116,3.77068028,2.45039966
3.49784932,3.72887522,3.78725667,,3.58230544,3.58930838,3.49470125,,4.77054726,4.36410835,3.19169633,,3.7610086,3.13028261,2.39767902
3.70174961,3.91445048,3.83962856,,3.48185021,3.53162554,3.36335441,,3.83290597,3.82991238,2.94185799,,3.65471257,3.02706452,2.23905342
3.53773617,3.29109647,3.66950338,,3.37121654,3.74661402,3.49698213,,4.17339814,3.62362988,2.77689188,,3.5328558,3.41027428,2.39777439
3.65603398,4.33659995,3.82704982,,3.25430914,3.13885567,3.14232893,,3.88032238,3.92721968,2.6541338,,3.44715852,2.63528772,1.95719224
3.83522059,4.27193187,3.90578674,,3.77170542,3.76366606,3.48818273,,3.91207752,2.84472115,2.44038932,,3.96736894,3.31695895,2.39083224
4.09660025,4.69791552,3.89228356,,4.05438363,4.73113337,3.43252594,,4.65760083,3.98068845,2.8655163,,4.27144802,4.24476024,2.41849576
3.9163503,3.7118169,3.71749395,,4.04876425,3.87474056,3.55141105,,3.68698289,3.09222791,2.47186081,,4.25668939,3.54085927,2.46901032
3.66102786,2.99390112,3.60317399,,3.68860694,3.6762044,3.4983977,,4.26756097,3.7785187,2.75936089,,3.88700815,3.18823729,2.35737485
3.89880747,4.23259148,4.03567874,,3.99563367,4.82629049,3.84389977,,4.19774499,3.49142516,2.70684359,,4.16834131,4.37780039,2.85293274
3.60294545,3.55618237,3.77497356,,3.33997281,3.45234343,3.28881021,,4.15921441,4.6864293,2.93401908,,3.51351747,3.1136586,2.16562779
4.39240812,5.14465035,4.21471647,,3.77839878,4.30904994,3.46162178,,4.08768978,3.61833916,2.7003397,,3.96683662,3.96465089,2.41638389
4.07644598,4.67441162,4.08762477,,3.55009997,4.62471334,3.60990401,,4.2987783,3.89129872,2.92460048,,3.70689877,4.22077649,2.60137945
4.01004483,4.77277004,3.87427273,,4.05948727,3.98044532,3.66681147,,4.3401289,4.09439994,3.10992689,,4.27956228,3.61751619,2.59066699
3.49250885,3.44244285,3.59821511,,3.69315663,4.02112317,3.47588072,,4.04546884,2.61919541,2.43892365,,3.87017323,3.60229411,2.38774645
4.07936461,4.52601467,3.97014461,,3.96264705,4.29697061,3.49234431,,4.41834237,3.52170961,2.7198702,,4.17667862,3.83235032,2.48616023
3.67981997,3.73691119,3.77010158,,3.31295983,3.21324762,3.25177462,,4.11338728,4.72076934,3.01093915,,3.49166081,2.72496556,2.06756793
3.80063671,3.64467702,3.80246599,,3.53927402,3.35145202,3.43246974,,3.88926582,2.90525101,2.48227507,,3.72089452,3.00565539,2.31221708
3.82739602,3.23252344,3.73841204,,3.92819365,4.56975715,3.47586309,,3.60108581,2.84045187,2.40994076,,4.12897858,4.06787317,2.49527192
4.31658143,4.40165826,4.07113672,,3.30275434,3.01741804,3.25809913,,4.1367909,3.6107389,2.85684524,,3.49246541,2.68761149,2.12770381
3.45450965,3.32182926,3.76552997,,3.87848072,4.27953778,3.5358011,,4.611057,4.84895799,3.08035265,,4.06975546,3.84616531,2.47926446
4.07714853,5.23658531,3.90199615,,3.38402802,3.77898494,3.33019515,,3.53090017,2.37912878,2.25418641,,3.57262949,3.36813139,2.2271763
3.36674678,3.2811083,3.67696795,,4.06294589,3.99153755,3.69797954,,3.71629576,3.04015279,2.60667276,,4.27165441,3.56205288,2.60670336
3.4350824,3.19339616,3.71346956,,3.32298838,3.12483765,3.32686789,,4.43739591,3.59305811,2.7560302,,3.4997762,2.69518342,2.19209941
3.48801213,4.48155706,3.83053594,,3.63319825,3.54573542,3.38825403,,3.49802344,2.77825657,2.40041479,,3.82145538,3.16844939,2.31842133
3.36565096,3.89407569,3.6578998,,3.74136646,4.11607251,3.58274503,,4.14402522,3.07669744,2.43721356,,3.91297595,3.66062922,2.54458062
